Unnamed: 0,product_name,product_price,weight,category,EAN,date_added,uuid,removed,product_code
0,FurReal Dazzlin' Dimples My Playful Dolphin,£39.99,1.60000kg,toys-and-games,7.42571E+12,02/12/2005,83dc0a69-f96f-4c34-bcb7-928acae19a94,Still_avaliable,R7-3126933h
1,Tiffany's World Day Out At The Park,£12.99,0.48000kg,toys-and-games,4.87129E+11,09/01/2006,712254d7-aea7-4310-aff8-8bcdd0aec7ff,Still_avaliable,C2-7287916l
2,Tiffany's World Pups Picnic Playset,£7.00,0.59000kg,toys-and-games,1.94582E+12,29/03/1997,b089ef6f-b628-4e37-811d-fffe0102ba64,Still_avaliable,S7-1175877v
3,Tiffany's World Wildlife Park Adventures,£12.99,0.54000kg,toys-and-games,1.56979E+12,20/03/2013,d55de422-8b98-47d6-9991-e4bc4c5c0cb0,Removed,D8-8421505n
4,Cosatto Cosy Dolls Pram,£30.00,1.91000kg,toys-and-games,7.14274E+12,23/12/2007,7945b657-cb02-4cc5-96cf-f65ed0a8f235,Still_avaliable,B6-2596063a
5,Cocomelon Magnetic Scribbler,£12.99,0.91000kg,toys-and-games,9.02251E+12,07/02/2007,cdd568e3-9657-412b-b3a6-52f6adff966b,Still_avaliable,g3-7974400s
6,Peppa Pig House Felties,£7.00,0.46000kg,toys-and-games,5.99798E+12,24/01/2009,58112753-a53f-4696-ab8a-7186c7e4a57e,Still_avaliable,U3-5148457q
7,Paw Patrol Walkie Talkies,£12.99,0.38000kg,toys-and-games,58555395171,13/08/2013,797d133a-0989-4707-914d-7c043bcbbd86,Still_avaliable,q8-5387483Z
8,Peppa Pig 3D Walkie Talkies,£12.99,0.38000kg,toys-and-games,9.15537E+12,26/05/2005,a6c23718-0e25-4419-8018-600c44e5e3df,Still_avaliable,i4-2651057I
9,Disney Encanto Magical Casa Madrigal,£89.99,8.98100kg,toys-and-games,2.74088E+12,05/08/2003,2e78e9a4-2b77-4b59-95e5-d60ee01ef183,Still_avaliable,b6-6234052g
10,Disney Encanto Mirabel's Room,£24.99,1.47800kg,toys-and-games,9.82132E+12,20/09/2013,baa31d12-ad99-4442-b663-bd8a525c1c7a,Still_avaliable,g5-411324A
11,Disney Encanto Isabela's Garden Room,£24.99,0.00120kg,toys-and-games,9.64454E+12,14/08/2019,e36989b3-7371-40ea-80b8-c23ba1a6869f,Still_avaliable,S6-3678717g
12,Disney Encanto Antonio's Tree House,£24.99,0.00120kg,toys-and-games,2.42134E+12,13/04/2019,d3ed56bc-533e-42fe-839a-ba880bda5714,Still_avaliable,Z2-0851042W
13,Tie-Dye Slime Mega Set,£12.99,0.66000kg,toys-and-games,9.52639E+12,20/05/2014,44d36b71-477e-44f9-8dbc-e771a1bfbc11,Removed,t5-7763922W
14,Paw Patrol Magnetic Scribbler,£12.99,0.91000kg,toys-and-games,7.88619E+12,21/12/2003,85610de0-f2b0-4613-9b51-343875197314,Still_avaliable,Z8-4148279f
15,Light Up Secret Hideout Tent,£22.00,1.80000kg,toys-and-games,8.23105E+12,17/02/2019,1f692916-439d-41c4-a524-b51bf6088e1d,Still_avaliable,l4-0484985I
16,Light Up Army Hideout Tent,£22.00,1.90000kg,toys-and-games,9.96379E+12,13/02/2007,41861b23-4675-4cd5-90b1-03a24afad922,Still_avaliable,P1-5362711n
17,Tiffany's World Fabulous Food Truck,£20.00,1.72500kg,toys-and-games,5.34813E+12,19/08/1996,245a17fd-7e6c-43b2-9708-5bc87f51329c,Removed,v7-6917295v
18,Treasure X Dino Gold Pterodactyl Dino Dissection,£16.99,0.54000kg,toys-and-games,1.15645E+12,12/11/2003,8a6c33e3-0278-4e92-b434-6664d3db6d8b,Still_avaliable,D0-3518057L
19,My Crawling Bear,£12.99,0.32200kg,toys-and-games,1.59265E+11,19/04/2000,c5189222-d270-44c5-8b9b-5598378c7dcc,Still_avaliable,w1-22434p
20,FurReal Dazzlin' Dimples My Playful Dolphin,£39.99,1.60000kg,toys-and-games,1.15555E+12,10/04/2021,e2a79a6c-16bb-4845-a12b-b5e00c64b419,Still_avaliable,W4-8185499V
21,Carnival Coin Push Machine,£12.99,0.71000kg,toys-and-games,1.20224E+12,16/05/2007,cf76b3da-fb26-41b7-a155-af3681429fda,Still_avaliable,Y1-0776845n
22,Paw Patrol Casting Station,£12.99,0.88000kg,toys-and-games,1.0913E+12,28/08/2003,e36ae4fd-5212-4bdb-9e85-ca4f907aa4eb,Still_avaliable,l7-1024003n
23,Marvel Spidey & His Amazing Friends Super Pinball,£12.99,0.67000kg,toys-and-games,4.00252E+11,08/11/2021,e8925332-320f-44c3-9dc0-8853d9d4b5f9,Still_avaliable,w9-8766704u
24,Electronic Ball Blaster,£25.00,11.07600kg,toys-and-games,4.3532E+12,12/07/2010,fbfb25a5-3907-4cd3-bcfd-281e6696ad5b,Still_avaliable,f1-4722530k
25,Multifunction Keyboard,£45.00,4.00000kg,toys-and-games,9.24364E+12,13/12/2022,ac02d418-1889-4fbb-9cf1-8ea62e8c4346,Still_avaliable,w4-86578A
26,LEGO Star Wars Obi-Wan Kenobi Jedi Starfighter,£24.99,0.38500kg,toys-and-games,6.97922E+12,24/07/2011,5ac00457-7c7a-4136-89ce-b743e1dbd709,Still_avaliable,E4-7336898r
27,Cra-Z-Compounds Kit,£12.99,1.38000kg,toys-and-games,2.31006E+11,02/08/2011,cc425e30-b8ee-47f2-9fdb-f795d2c33d3e,Still_avaliable,y2-2987173c
28,Rainbow Inline Scooter,£18.99,2.57000kg,toys-and-games,8.86034E+12,08/02/2000,c6195d24-550c-4112-8fb2-8e0d26f266b7,Still_avaliable,k6-93543H
29,Mega Baff Pack 12pk,£12.99,1.35000kg,toys-and-games,1.24616E+12,11/06/2016,d2b0d401-b216-4211-ac4e-f355c2209616,Still_avaliable,G4-9696129s
30,Wizarding World Harry & Voldermort Action Figure Set 2pk,£29.99,0.69500kg,toys-and-games,4.29203E+12,23/05/2006,2c288db5-c229-4569-bb33-c2d3181f34aa,Still_avaliable,x7-0261657H
31,Baff Bombz 20pk,£12.99,1.15000kg,toys-and-games,7.16993E+11,09/09/2006,29ffef07-0379-4edc-bf37-f75fcf8c9366,Still_avaliable,t8-6507415K
32,Love & Hugs Party Hair Pack 15pc,£12.99,0.98000kg,toys-and-games,8.95519E+12,22/06/2005,ad3bb626-7e06-4c51-abee-81446951fe0e,Still_avaliable,X9-2624620g
33,Disney Encanto Folding In-line Scooter,£15.99,2.57000kg,toys-and-games,6.79986E+12,30/12/1996,2e17dfc5-dab9-43a3-9017-4a9d3f0fd3d1,Still_avaliable,U3-7247637T
34,Remote Control Robot Football,£30.00,1.44700kg,toys-and-games,3.00072E+12,20/01/2000,180b7a60-f88a-474e-ba31-ee9a654aa152,Still_avaliable,o0-4016167t
35,Kaleidoscope Ultimate Etch Art,£12.99,1.36250kg,toys-and-games,7.28822E+12,20/04/1998,c7d2dd97-2127-4763-99a6-194cc2c2cc60,Still_avaliable,Z6-5998255Z
36,Table Football Championship Edition,£12.99,2.25000kg,toys-and-games,6.1111E+11,11/11/2008,c60c7b10-9af3-4259-b36e-c4d5577fd372,Still_avaliable,I0-2219203g
37,Minecraft Caves & Cliffs Ender Dragon Playset,£19.99,0.79000kg,toys-and-games,1.86403E+12,28/03/2012,688180c4-cda0-434d-972d-5684311bb906,Still_avaliable,J3-4488330L
38,Carnival Coin Push Machine,£12.99,0.71000kg,toys-and-games,3.64513E+12,17/05/2015,f1454236-58aa-4547-be9f-a55aa803e16f,Still_avaliable,z8-257244T
39,Paw Patrol Casting Station,£12.99,0.88000kg,toys-and-games,4.24849E+12,13/08/2016,7c1908d7-938e-43d6-985b-af7fd72bdcf2,Still_avaliable,l1-4267653w
40,Marvel Spidey & His Amazing Friends Super Pinball,£12.99,0.67000kg,toys-and-games,3.6422E+12,21/10/2021,f9e90bd4-87ee-4609-82ad-32eda0364f1e,Still_avaliable,u3-7131504g
41,Electronic Ball Blaster,£25.00,11.07600kg,toys-and-games,8.3626E+12,14/04/2004,52b0de79-0a0a-4669-9043-53c774772ab4,Still_avaliable,C8-2195382O
42,Multifunction Keyboard,£45.00,4.00000kg,toys-and-games,3.7764E+12,06/01/2014,fef2253c-528f-4459-a158-3c95614ca5ea,Still_avaliable,q5-6488109e
43,LEGO Star Wars Obi-Wan Kenobi Jedi Starfighter,£24.99,0.38500kg,toys-and-games,7.07765E+12,30/12/2003,9fe1e3cb-fc38-45f6-9e6f-5fe29d7fb1a4,Still_avaliable,E9-2666287w
44,Cra-Z-Compounds Kit,£12.99,1.38000kg,toys-and-games,8.9369E+12,04/12/2000,3aae386b-ab35-4b3d-ae7d-8abe746e40e1,Still_avaliable,q7-0232955R
45,Rainbow Inline Scooter,£18.99,2.57000kg,toys-and-games,7.01312E+12,22/06/1993,9a6453f2-06a8-43f8-b436-4d344f61f297,Still_avaliable,H9-403416k
46,Mega Baff Pack 12pk,£12.99,1.35000kg,toys-and-games,9.53918E+12,18/06/1999,e61181a5-2885-4fbd-a03c-50bbfbf6afb3,Removed,i7-2575230x
47,Wizarding World Harry & Voldermort Action Figure Set 2pk,£29.99,0.69500kg,toys-and-games,6.018E+12,16/02/2002,725429a7-f5f1-4da2-94f5-7e5a76464225,Removed,L7-8919618p
48,Baff Bombz 20pk,£12.99,1.15000kg,toys-and-games,4.15028E+12,21/05/2007,95443a87-a939-4ac2-a0bc-c32616f7ff29,Still_avaliable,n5-7375132t
49,Love & Hugs Party Hair Pack 15pc,£12.99,0.98000kg,toys-and-games,7.63914E+12,05/06/2009,8d4dfaaa-d0f3-417d-bb44-909e910ff307,Still_avaliable,r8-2771125H
50,Disney Encanto Folding In-line Scooter,£15.99,2.57000kg,toys-and-games,6.19285E+12,11/02/2003,a9185733-1f7b-4264-ac36-d9192781ce9c,Still_avaliable,J3-531237O
51,Remote Control Robot Football,£30.00,1.44700kg,toys-and-games,5.0932E+12,11/11/2001,fd2659a1-2cb4-4b92-b97a-d8ca2d34fb5c,Still_avaliable,V3-9834733u
52,Kaleidoscope Ultimate Etch Art,£12.99,1.36250kg,toys-and-games,9.74512E+12,19/11/2003,f9a5f9ba-5ca4-4c28-92f8-48ad760cd762,Still_avaliable,i3-9861696j
53,Table Football Championship Edition,£12.99,2.25000kg,toys-and-games,1.77574E+12,03/09/2009,14232386-d572-4de3-9735-3b94c7884c23,Still_avaliable,x5-8684363O
